S_No,Grade,Sex,Age,Literacy mean,Number Recognition mean,Addition Mean,Subtraction mean,Multiplication mean,Division mean,school_code
1528,Class 5 ,Male,12.0,2,1,1,1,2,1,63
1529,Class 5 ,Female,10.0,2,2,2,1,2,2,63
1530,Class 5 ,Female,10.0,2,2,2,1,2,2,63
1531,Class 5 ,Female,10.0,2,2,2,1,2,2,63
1532,Class 6 ,Female,10.0,2,2,2,1,2,2,62
1533,Class 6 ,Female,12.0,2,3,2,1,2,2,62
1534,Class 6 ,Male,11.0,2,3,2,1,2,2,62
1535,Class 6 ,Male,12.0,2,3,2,1,2,2,62
1536,Class 6 ,Female,12.0,3,4,3,3,3,3,64
1537,Class 6 ,Male,13.0,3,4,3,3,3,2,64
1538,Class 6 ,Male,13.0,3,4,3,3,3,2,64
1539,Class 6 ,Female,10.0,2,4,3,3,3,2,64
1540,Class 1,Male,7.0,0,1,1,1,1,1,64
1541,Class 1,Female,6.0,0,1,1,1,1,1,64
1542,Class 1,Female,6.0,0,1,1,1,1,1,64
1543,Class 1,Female,6.0,1,1,1,1,1,1,64
1544,Class 2,Male,7.0,2,1,1,1,1,1,64
1545,Class 2,Female,8.0,0,1,1,1,1,1,64
1546,Class 2,Male,7.0,0,2,1,1,1,1,64
1547,Class 2,Female,8.0,0,1,1,1,1,1,64
1548,Class 3,Male,8.0,1,3,1,1,1,1,64
1549,Class 3,Female,9.0,2,3,1,1,1,1,64
1550,Class 3,Female,10.0,2,2,2,1,2,1,64
1551,Class 3,Male,8.0,2,1,1,1,2,1,64
1552,Class 4,Male,9.0,1,3,2,1,2,1,64
1553,Class 4,Female,12.0,2,2,2,1,2,1,64
1554,Class 4,Female,11.0,1,2,1,1,2,1,64
1555,Class 4,Female,8.0,1,1,1,1,2,2,64
1556,Class 5 ,Male,11.0,3,2,2,1,2,1,64
1557,Class 5 ,Male,13.0,3,4,3,1,2,1,64
1558,Class 5 ,Male,12.0,3,4,2,1,2,1,64
1559,Class 5 ,Female,12.0,3,4,2,1,2,1,64
